Title,Price,Description,Link,Date,Condition,Fetched Timestamp
Asus strix gtx 960,30.00,"Lisätiedot
			hyväkuntoinen näytönohjain useimmat pelit pyörii
hyvinhaku hyvinkää",https://www.tori.fi/uusimaa/Asus_strix_gtx_960_118626649.htm?ca=18&w=1,23 syyskuuta 13:56,Hyvä,01:28:39 2023-10-02
MSI Nvidia GeForce GTX 1070 ARMOR 8G OC,99.00,"Lisätiedot
			Hyvä ja hiljainen näytönohjain.Valmistajan antamat tiedot:Core/MemoryBoost Clock / Base Clock1746 MHz / 1556 MHz8192 MB GDDR5 / 8008 MHz MemoryVideo Output FunctionDisplayPort x 3HDMI x 1Dual-link DVI-D x 1FeaturesVirtual Reality ReadyDirectX 12 ReadyGreat for 4KGamestream to NVIDIA SHIELD",https://www.tori.fi/uusimaa/MSI_Nvidia_GeForce_GTX_1070_ARMOR_8G_OC_118612158.htm?ca=18&w=1,23 syyskuuta 10:22,Hyvä,01:28:40 2023-10-02
Diamond Viper TNT V550 16MB AGP,25.00,"Lisätiedot
			Diamond Viper TNT V550 16MB AGP Passeli näytönohjain retroiluun. Toimii.Nouto tai postitus +7e.Hakusanoja: retro ibm pc glide 3dfx multimedia",https://www.tori.fi/uusimaa/Diamond_Viper_TNT_V550_16MB_AGP_118580473.htm?ca=18&w=1,22 syyskuuta 13:12,Hyvä,01:28:41 2023-10-02
Rx 5600 xt,120.00,"Lisätiedot
			Myydään hyväkuntoinen näytönohjain. Kortilla ei
ole louhittu ja käytetty vain pelaamiseen. Lämmöt
eivät ole nousseet yli 60 asteeseen. Nouto
Helsingistä",https://www.tori.fi/uusimaa/Rx_5600_xt_118571647.htm?ca=18&w=1,22 syyskuuta 09:48,Erinomainen,01:28:42 2023-10-02
Tuf-gtx1660s 6gb,100.00,"Lisätiedot
			Myydään hyväkuntoinen TUF GTX 1660S",https://www.tori.fi/uusimaa/Tuf_gtx1660s_6gb_118549285.htm?ca=18&w=1,21 syyskuuta 16:38,Erinomainen,01:28:43 2023-10-02
Näytönohjain - MSI GeForce GTX 960 Gaming 2GB,45.00,"Lisätiedot
			MSI GeForce GTX 960 Gaming HDMI 3xDP 2GBVoit soittaa, tai tekstata minulle numeroon...WhatsApp:lla sekä normaalisti:Puh. 0400516246Muista katsella muutkin Tori-ilmoitukseni.Kirjainmerkitse Kaikki-Ilmoitukseni Sivut...(Myytävä vaihtuu Usein.)Otan Kaikenlaisia Tarjouksia Vastaan...",https://www.tori.fi/uusimaa/Naytonohjain___MSI_GeForce_GTX_960_Gaming_2GB_118519247.htm?ca=18&w=1,20 syyskuuta 21:15,Erinomainen,01:28:44 2023-10-02
MSI Geforce GTX 1060 6GT OCV1 6GB PCI-E,60.00,"Lisätiedot
			Myynnissä ylimääräiseksi jäänyt GTX1060 6GB,
hyvässä kunnossa. Lämmöt seurattu säännöllisesti
ja aina viileänä pysynyt. Pyörittää mukavasti
valtaosan peleistä, ihan uusimmat pelit alkavat
jäämään hieman jälkeen tässä raudassa.Ominaisuudet:Piiri: GeForce GTX 1060 1544 MHz (boost clock 1759
MHz)Muisti: 6144 Mt, GDDR5, 8008 MHzVäylä: PCI-Express 3.0Dual-link DVI, HDMI, Display PortNVIDIA PhysX, CUDAHDCP-tukiG-SYNC -tukiAdaptive V-Sync -tuki3D Vision Surround -tukiVain nouto Järvenpää / KinnariMobilepay tai käteinen.",https://www.tori.fi/uusimaa/MSI_Geforce_GTX_1060_6GT_OCV1_6GB_PCI_E_118498003.htm?ca=18&w=1,20 syyskuuta 14:17,Hyvä,01:28:45 2023-10-02
Gtx460 ja Radeon HD6750,25.00,"Lisätiedot
			Radeon täysin käyttövalmis. Erikoisuutena 2xMiniDP
+ perusliittimet.Nvidia ilman jäähyä. Molemmat kuvissa näkyvät saa
helposti askarreltua kiinni.Nouto Pasilasta.",https://www.tori.fi/uusimaa/Gtx460_ja_Radeon_HD6750_118478138.htm?ca=18&w=1,19 syyskuuta 22:43,-,01:28:46 2023-10-02
GTX 1070 Strix,99.00,"Lisätiedot
			Siitä hyvä näyttis pelaukseen.Ollu itsellä koneessa pelikäytössä nyt viitisen
vuotta. Lähettää en voi koska laatikkoa ei ole.
Ainoa miinus on että on aika pölynen.",https://www.tori.fi/uusimaa/GTX_1070_Strix_118475800.htm?ca=18&w=1,19 syyskuuta 21:30,Hyvä,01:28:47 2023-10-02
Nvidia RTX 3060 näytönohjain,190.00,"Lisätiedot
			Lyhyt, 2 tuulettimen malli. Ollut käytössä puoli
vuotta. Uutta vastaava kunto",https://www.tori.fi/uusimaa/Nvidia_RTX_3060_naytonohjain_118475750.htm?ca=18&w=1,19 syyskuuta 21:28,Erinomainen,01:28:48 2023-10-02
Gtx 770,40.00,"Lisätiedot
			toimiva näytönohjain tarjousta vastaan",https://www.tori.fi/uusimaa/Gtx_770_118473247.htm?ca=18&w=1,19 syyskuuta 20:32,Tyydyttävä,01:28:49 2023-10-02
Asus TUF Geforce RTX 3070 OC,400.00,"Lisätiedot
			Otsikon mukainen näytönohjain, täydellinen
myyntipakkaus ja kuitti löytyy. Ainoastaan nouto tai toimitus kaupat pk-seudulla.
Ei postitusta.",https://www.tori.fi/uusimaa/Asus_TUF_Geforce_RTX_3070_OC_118469040.htm?ca=18&w=1,19 syyskuuta 19:11,Erinomainen,01:28:50 2023-10-02
MSI GeForce GTX 1050 2GB,30.00,"Lisätiedot
			Täysin toimiva ja hyväkuntoinen näytönohjain
kevyeen pelaamiseen. Ei vaadi lisävirtaa, eli
soveltuu hyvin esimerkiksi toimistokoneen
muuntamiseksi pelikäyttöön.",https://www.tori.fi/uusimaa/MSI_GeForce_GTX_1050_2GB_118456424.htm?ca=18&w=1,19 syyskuuta 15:16,Erinomainen,01:28:51 2023-10-02
GeForce RTX 2080 Ventus 8G näytönohjain,280.00,"Lisätiedot
			Täysin toimiva ja tehokas, pelkästään pelikäytössä
ollut näytönohjain. Myydään uuden tieltä pois.Kaupat mieluiten kasvotusten.",https://www.tori.fi/uusimaa/GeForce_RTX_2080_Ventus_8G_naytonohjain_118456148.htm?ca=18&w=1,19 syyskuuta 15:10,Erinomainen,01:28:52 2023-10-02
Asus tuf RTX 3080,500.00,"Lisätiedot
			Puolitoista kuukautta on ollut käytössä, takuuta
17.04.2025 asti tingitty valmis",https://www.tori.fi/uusimaa/Asus_tuf_RTX_3080_118445185.htm?ca=18&w=1,19 syyskuuta 11:36,Erinomainen,01:28:53 2023-10-02
Title not found,Price not found,Description not found,https://www.tori.fi/koko_suomi?splan=gigantti,Date not found,Condition not found,01:28:54 2023-10-02
Näytönohjain Asus 3060Ti Tuf gaming,300.00,"Lisätiedot
			Näytönohjain Asus 3060Ti Tuf gaming oc 8gb lhr",https://www.tori.fi/uusimaa/Naytonohjain_Asus_3060Ti_Tuf_gaming_118428908.htm?ca=18&w=1,18 syyskuuta 20:16,Erinomainen,01:28:56 2023-10-02
Palit GeForce GTX 1050Ti 4Gb,45.00,"Lisätiedot
			Palit GeForce GTX 1050Ti 4Gb hyvässä kunnossa",https://www.tori.fi/uusimaa/Palit_GeForce_GTX_1050Ti_4Gb_118420194.htm?ca=18&w=1,18 syyskuuta 17:53,-,01:28:57 2023-10-02
"Näytönohjain, emolevy ja virtalähde",30.00,"Lisätiedot
			Tästä n. 15v vanhat osat toimivassa kunnossa.
Emolevy ja virtalähde ehkä n. 4v käytettyjä ja
näytönohjain vuoden.Nyt seisseet yli 10v.Vain nouto.",https://www.tori.fi/uusimaa/Naytonohjain__emolevy_ja_virtalahde__118418668.htm?ca=18&w=1,18 syyskuuta 17:25,Hyvä,01:28:58 2023-10-02
PNY XLR8 GTX 1660 Ti Gaming OC,110.00,"Lisätiedot
			Myyntiin noin vajaan vuoden verran käytössä ollut
näytönohjain. Ostettu torista käytettynä.
Alunperin ostettu Gigantista tammikuussa 2020.
Ollut ainoastaan pelikäytössä ITX kokoonpanossa,
ei mainattu.Vaihdettu hiljattain lämpötahnat sekä puhallettu
pahimmat pölyt pois.Voin lähettää kortin (ostajan kustannuksella),
mutta mieluiten nouto.",https://www.tori.fi/uusimaa/PNY_XLR8_GTX_1660_Ti_Gaming_OC_118370192.htm?ca=18&w=1,17 syyskuuta 17:16,Hyvä,01:28:59 2023-10-02
