Title,Price,Description,Link,Date,Condition,Fetched Timestamp
Gigabyte GeForce RTX 2070 Super Gaming OC 8G,300.00,"Lisätiedot
			FeaturesPowered by GeForce® RTX 2070 SUPERIntegrated with 8GB GDDR6 256-bit memory
interface. WINDFORCE 3X Cooling System with
alternate spinning fans RGB Fusion 2.0 synchronize
with other AORUS devices. Metal Back Plate.",https://www.tori.fi/uusimaa/Gigabyte_GeForce_RTX_2070_Super_Gaming_OC_8G_117064601.htm?ca=18&w=1,19 elokuuta 20:49,Erinomainen,01:29:55 2023-10-02
GTX 1050 mini,25.00,"Lisätiedot
			Myynnissä GTX 1050 mini. Tämä näyttis pyörittää
kevyitä pelejä mainiosti mutta graafisesti
raskaampien pelien kanssa sillä on vähän ongelmia.
Tämän näyttön ohjain on hyvä budjetti koneeseen,
koska se tuottaa hyviä tuloksia halvalla
hinnallaan. Ei ole enään tarvetta koska ostin
uuden koneen.",https://www.tori.fi/uusimaa/GTX_1050_mini_117044596.htm?ca=18&w=1,19 elokuuta 14:30,Erinomainen,01:29:56 2023-10-02
2kpl Radeon HD 6850 cross fire näytönohjainta,50.00,"Lisätiedot
			Uuden kortin tieltä toimivat kaksi (2) Radeon HD
6850 cross fire näytönohjainta jotka voi yhdistää
toisiinsa.Malli: Toxic HD680 1G GDDR5 PCI-ENouto tai kaupat Kirkkonummi / Länsi-Espoo /
Helsingin keskusta alueella sovittaessa",https://www.tori.fi/uusimaa/2kpl_Radeon_HD_6850_cross_fire_naytonohjainta_116948412.htm?ca=18&w=1,17 elokuuta 11:14,Hyvä,01:29:57 2023-10-02
Näyttönhjain GTX 1050ti MSI Gaming X Edition,55.00,"Lisätiedot
			Näyttönohain on erinomaisessa kunnossa ja siitä ei
oltu avattu.Jos tulee lisää kysymyksiä kirjoittakaa vaan.",https://www.tori.fi/uusimaa/Nayttonhjain_GTX_1050ti_MSI_Gaming_X_Edition_116938835.htm?ca=18&w=1,17 elokuuta 00:01,Erinomainen,01:29:58 2023-10-02
RTX 3060,275.00,"Lisätiedot
			Vähän käytetty näytönohjain.Ostettu Gigantista 9/21Ostaja maksaa postituksen",https://www.tori.fi/uusimaa/RTX_3060_116931720.htm?ca=18&w=1,16 elokuuta 20:12,Erinomainen,01:29:59 2023-10-02
Uusi vesijäähdytin kortille GTX 770,30.00,"Lisätiedot
			Käyttämätön vesijäähdytin kortille GTX 770. Aivan
uusi ja loistokunnossa alkuperäispakkaus mukaan
lukien.Nouto Suutarilasta",https://www.tori.fi/uusimaa/Uusi_vesijaahdytin_kortille_GTX_770_116878196.htm?ca=18&w=1,15 elokuuta 17:51,Uusi,01:30:00 2023-10-02
AMD vega 64 strix OC 8g,150.00,"Lisätiedot
			Working like a charm. Selling cos I dont use it anymore. Perfect for 1080p to 2k gaming.",https://www.tori.fi/uusimaa/AMD_vega_64_strix_OC_8g_116868757.htm?ca=18&w=1,15 elokuuta 14:48,Erinomainen,01:30:01 2023-10-02
Rx 5700 xt,200.00,"Lisätiedot
			Kuvien mukainen näyttis ylimääräisenä myyntiin.",https://www.tori.fi/uusimaa/Rx_5700_xt_116842385.htm?ca=18&w=1,14 elokuuta 20:50,Hyvä,01:30:02 2023-10-02
Asus TUF RX5700,180.00,"Lisätiedot
			Myydään erittäin hyväkuntoinen AMDn RX5700
näytönohjain. Kortti on puhdistettu sekä siitä on
pidetty ammattimaisesti huolta. Takuuta ei ole
valitettavasti jäljellä.Kortti soveltuu erittäin hyvin 1080p - 1440p
monitoreilla pelaamiseen.Tuote voidaan postittaa turvallisesti, mutta
mieluiten nouto.",https://www.tori.fi/uusimaa/Asus_TUF_RX5700_116827405.htm?ca=18&w=1,14 elokuuta 16:24,Erinomainen,01:30:03 2023-10-02
Näytönohjain - EVGA GTX 760 Superclocked 2GB,30.00,"Lisätiedot
			EVGA NVIDIA GTX 760 02G-P4-2765-KR Superclocked
2GB GDDR5 PCI-E Video CardVoit soittaa, tai tekstata minulle numeroon...WhatsApp:lla sekä normaalisti:Puh. 0400516246Muista katsella muutkin Tori-ilmoitukseni.Kirjainmerkitse Kaikki-Ilmoitukseni Sivut...(Myytävä vaihtuu Usein.)Otan Kaikenlaisia Tarjouksia Vastaan...",https://www.tori.fi/uusimaa/Naytonohjain___EVGA_GTX_760_Superclocked_2GB_116792392.htm?ca=18&w=1,13 elokuuta 19:42,Erinomainen,01:30:04 2023-10-02
MSI Geforce gt 1030 oc edition,65.00,"Lisätiedot
			Vähällä käytöllä ollut näytönohjain, vaikkapa
multimediakoneeseen. Alkuperäinen pakkaus
sisältöineen.HP/Tarjoa",https://www.tori.fi/uusimaa/MSI_Geforce_gt_1030_oc_edition_116758770.htm?ca=18&w=1,13 elokuuta 11:03,Erinomainen,01:30:05 2023-10-02
MSI Radeon armor Rx 580,110.00,"Lisätiedot
			MSI Radeon armor rx580 8gb G5 DVI HDMI256 bitUusi",https://www.tori.fi/uusimaa/MSI_Radeon_armor_Rx_580_116752510.htm?ca=18&w=1,13 elokuuta 08:50,Uusi,01:30:06 2023-10-02
Nvidia gtx 960 2gb näytönohjain,40.00,"Lisätiedot
			Vähällä käytöllä ollut näytönohjain maksu käteinen
tai mobilepay nouto riihikallio tuusula",https://www.tori.fi/uusimaa/Nvidia_gtx_960_2gb_naytonohjain_116749330.htm?ca=18&w=1,12 elokuuta 23:04,Erinomainen,01:30:07 2023-10-02
Pelikoneen osia,170.00,"Lisätiedot
			Myydään.2kpl kinston hyperx fury ddr4 muisteja (8gt
yhteensä) 20 eur yhteensämsi geforce gtx 1660 ventus xs 6g oc näytönojain,
1 hdmi portti ei toimi. (2 x hdmi + 2 x DP) 150
eurMYYTY: emolevy msi mpg z390 gaming plus 70 eurMYYTY: prosessori intel i5 9400f 60 eurosina tai kaikki yhteensä 170 eurei postitetanouto espoosta",https://www.tori.fi/uusimaa/Pelikoneen_osia_116720723.htm?ca=18&w=1,12 elokuuta 12:44,Hyvä,01:30:08 2023-10-02
Asus gtx 1050,50.00,"Lisätiedot
			Asus gtx 1050 näytönohjain. Kaksi tuuletinta.
Punamusta. 2GB. Näytönohjaimesta ei kuulu
ylimääräisiä ääniä.",https://www.tori.fi/uusimaa/Asus_gtx_1050_116700461.htm?ca=18&w=1,11 elokuuta 20:14,Erinomainen,01:30:09 2023-10-02
2kpl GTX 970 + SLI bridge,100.00,"Lisätiedot
			Myydään 2kpl Nvidia GTX 970 Inno3D näytönohjaimet
+ SLI bridge. Näyttikset ovat jo usean vuoden
vanhoja, mutta pelittävät silti hyvin. Näillä ei
ole ikinä louhittu, vaan ollut pelikäytössä. Mieluiten nouto Herttoniemestä ja mobilepay. Saa
tarjota",https://www.tori.fi/uusimaa/2kpl_GTX_970___SLI_bridge_116668843.htm?ca=18&w=1,11 elokuuta 09:38,Hyvä,01:30:10 2023-10-02
GeForce GTX 1660 Ti EVO,140.00,"Lisätiedot
			Myydään Asus GeForce GTX 1660 Ti TUF Gaming EVO OC
2xHDMI DP 6GBNäytönohjain on ollut vähäisessä käytössä sekä
takuu on vielä voimassa 01.02.2024 asti.",https://www.tori.fi/uusimaa/GeForce_GTX_1660_Ti_EVO_116666271.htm?ca=18&w=1,11 elokuuta 08:23,Erinomainen,01:30:11 2023-10-02
MSI GTX770 2kpl SLI,50.00,"Lisätiedot
			Myydään 2kpl GTX770 näytönohjainta, mukaan SLI
silta",https://www.tori.fi/uusimaa/MSI_GTX770_2kpl_SLI_116650682.htm?ca=18&w=1,10 elokuuta 18:36,Erinomainen,01:30:12 2023-10-02
Nvidia GTX 660 Ti OC,50.00,"Lisätiedot
			Tästä vanha mutta toimiva näytönohjain.Asus nvidia GTX 660 Ti ocTarjoa.",https://www.tori.fi/uusimaa/Nvidia_GTX_660_Ti_OC_116629178.htm?ca=18&w=1,10 elokuuta 11:43,Hyvä,01:30:13 2023-10-02
Asus ROG Strix GeForce GTX1070 8G,120.00,"Lisätiedot
			Myydään kyseinen näytönohjain täysin toimivana
pois uuden alta. Alkuperäistä pakkausta ei ole,
joten postitus ei onnistu. Nouto Helsingin
Herttoniemestä.Näytönohjain ollut pelikäytössä ja pyörittänyt
hyvin csgo, modern warfare 2, pubg.",https://www.tori.fi/uusimaa/Asus_ROG_Strix_GeForce_GTX1070_8G_116613154.htm?ca=18&w=1,9 elokuuta 20:59,Erinomainen,01:30:14 2023-10-02
Koneen osia,150.00,"Lisätiedot
			Gtx 1060 6gb strix I7-4790K I5-45902x HyperX Rami tikkuja 4gb per tikku2x corsair Rami tikkuja 8gb per tikkuI7 ja 1060 myyty.",https://www.tori.fi/uusimaa/Koneen_osia_116573527.htm?ca=18&w=1,9 elokuuta 07:43,Hyvä,01:30:15 2023-10-02
Asus ROG gtx 1650 näytönohjain,100.00,"Lisätiedot
			Pari vuotta vanha ja vähän käytetty.Nouto Espoosta.",https://www.tori.fi/uusimaa/Asus_ROG_gtx_1650_naytonohjain_116541397.htm?ca=18&w=1,8 elokuuta 13:49,Erinomainen,01:30:16 2023-10-02
